asin,estrato,artista,titulo,tags_atuais,estilo,mb_genres,price_count,verdict,tags_certas,nota
B0G1SB9MHQ,populares,Band Of Skulls,Himalayan (Remastered 2024) (PURPLE VINYL),"rock, indie, alternative",,"rock, alternative rock, indie rock",21,,,
B00712PMPI,cauda,Joy Division,"Atmosphere (12"" Vinyl)","post-punk, new wave",,"rock, 70s, post-punk",9,,,
B07QRN3Y97,cauda,Bloody Hammers,Summoning [Disco de Vinil],"doom metal, occult rock, stoner rock",,"rock, metal, gothic metal",18,,,
B0GKPK297R,cauda,Orbit Culture,Shaman + The Forgotten EP,"melodic death metal, groove metal, death metal",,"rock, melodic death metal, industrial metal",6,,,
B0CYQ4FK7W,cauda,Sidney Bechet,PLAYS SIDNEY BECHET (BLUE VINYL/180G),"jazz, swing",,"jazz, swing, dixieland",10,,,
B0H64B165W,cauda,Secos & Molhados Ney Matogrosso,Lp Secos & Molhados - 1973 - 2a Edição Original,samba,,,9,,,
B0GDN61677,cauda,Billy / la Pesada Del Rock & Roll Bond,"Billy Bond And La Pesada Del Rock And Roll, Vol. 2",rock,,,8,,,
B0GXBTW69K,cauda,Neko Case,"CASE,NEKO - COOL BOYS / WINCHESTER MANSION OF SOUND (RSD)","alt-country, singer-songwriter, folk",,,5,,,
B0GM9CBJVR,cauda,Phoebe Ryan,"Phoebe Ryan How it Used to Feel, White Vinyl LP","pop, alternative, indie",,,7,,,
B0B61S9GBF,cauda,Jack Johnson,"Jack Johnson Meet The Moonlight (Colored Vinyl, S","acoustic, singer-songwriter, chill",,"rock, pop, pop rock",17,,,
B0GGWCR2LL,cauda,Celine Dion,Falling Into You (Amazon Exclusive Edition),pop,,"rock, electronic, pop",10,,,
B0DC1592W1,cauda,Dead Moon,Dead Ahead,"garage rock, punk rock, garage punk",,"rock, garage rock",10,,,
B0CVLCTQB9,cauda,Shining,III - Angst ( Crystal Clear Anniversary Edition LP ),"black metal, depressive black metal",,,9,,,
B00PU3DQ9O,cauda,Arkells,Blink Once [LP],"indie rock, rock, indie",,"rock, indie rock, pop rock",17,,,
B0GV64CPB6,cauda,Ron Carter,Duets [180 Gram Black Vinyl],"jazz, hard bop",,jazz,13,,,
B09YL61ZGH,cauda,Creed Taylor,Lp Vinil Antonio Carlos Jobim,samba,,,14,,,
B0CJWQB9NP,cauda,Contra Capa: José Humberto Alves dos Santos,Lp Vinil The Clevers - Twist / Continental 1963,samba,,,7,,,
B00MNCW5P6,cauda,John Mellencamp,Plain Spoken,"rock, classic rock, singer-songwriter",,"rock, folk, folk rock",15,,,
B07T4RYGLT,cauda,Ian & Sylvia Tyson,Lost Tapes [Disco de Vinil],"folk, country, singer-songwriter",,,14,,,
B0C923P98R,cauda,Jon Bon Jovi,The Music Roots Of,"rock, hard rock, classic rock",,,8,,,
B0H1JLZSR6,cauda,Flávio Venturini,Disco de Vinil Lp Flavio Venturini Minha História,"mpb, brasil",,,7,,,
B0C5S29D6G,cauda,John Coltrane,Traneing In - Limited 180-Gram Vinyl with Bonus Tracks,"jazz, free jazz, saxophone",,"jazz, post-bop, hard bop",15,,,
B0DJ3HH7K4,cauda,Zé Rodrix,LP QUEM SABE SABE QUEM NÃO SABE NÃO PRECISA SABER (NACIONAL),brasil,,"rock, mpb, latin",8,,,
B0GSH5JG8X,cauda,Steppenwolf,Easy Rider - Lp Músicas Apresentadas no Filme Sem Destino - 1970,"classic rock, hard rock, rock",,,13,,,
B0GTWJDN9Z,cauda,Miles Davis,Miles '56: The Prestige Recordings[180g 4 LP],"jazz, trumpet, bebop",,,9,,,
B0G29VWSH3,cauda,Ozzy Osbourne,Killer Of Giants (Orange Vinyl) (LP) (Ltd) [Analog],"heavy metal, hard rock, metal",,,11,,,
B07XLQ18Y4,cauda,Rainer Trueby,Rainer Trueby presents Soulgliding [Disco de Vinil],"house, deep house",,,19,,,
B0FHWT8YD9,cauda,Chiswick Records 1975-1982: Seven Years at 45 Rpm,Chiswick Records 1975-1982: Seven Years At 45 RPM / Various,rock,,,7,,,
B09Q96QW2Y,cauda,Cattle Decapitation,The Harvest Floor,"grindcore, death metal, deathgrind",,"rock, progressive metal, death metal",18,,,
B08JB9RRS5,cauda,Still Corners,The Last Exit [Disco de Vinil],"dream pop, lo-fi, indie pop",,"rock, pop, indie pop",14,,,
B0DLDFQ796,cauda,Alejandro Sanz,LP VINIL Alejandro Sanz - Más,"pop, latin, latin pop",,"rock, pop, pop rock",11,,,
B0DJPVX2J5,cauda,Marching Orders,Living Proof - Orange Crush Vinyl,"oi, punk, street punk",,"rock, punk, oi",15,,,
B074CB1BB6,cauda,Hail The Sun,Wake [Disco de Vinil],"rock, indie, alternative",,"post-hardcore, swancore",19,,,
B0DW8J8T1G,cauda,Derek & the Dominos,Layla And Other Assorted Love Songs - Japanese Pressing,"blues rock, classic rock, rock",,"rock, blues, blues rock",5,,,
B0FCMVZDBY,cauda,Randy Travis,Now Playing,"country, classic country",,,16,,,
B07G5KJTN1,sem_tags,Artista não identificado,"Tinta Suvinil para madeiras e metais esmalte acetinado seca rapido 3,6L - Branco",,,,24,,,
B0FVG5HYQ5,sem_tags,Various Artists,"Friday (Original Motion Picture Soundtrack) Red Orange Haze 2LP Vinyl, Ice Cube",,,"soundtrack, rap, hip-hop",123,,,
B00Y2V0LHA,sem_tags,Artista não identificado,Vanessa Fernandez - Remember Me,,,,14,,,
B0015I2MW0,sem_tags,Artista não identificado,World of Duke Ellington 3 [Disco de Vinil],,,,5,,,
B000091NPK,sem_tags,Artista não identificado,Chicago - Chicago 18,,,,5,,,
B08RR7G8KH,sem_tags,Various Artists,Puzzles Vol. 4 [Disco de Vinil],,,"electronic, trap, future bass",47,,,
B0B61K8PQM,sem_tags,Various Artists,All My Friends: Celebrating The Songs & Voice Of Gregg Allman [4 LP],,,"rock, southern rock",536,,,
B07S98GPT3,sem_tags,Various Artists,Country Music - A Film By Ken Burns (Original Soundtrack) [Disco de Vinil],,,,249,,,
B0B11SLN1T,sem_tags,999,Biggest Tour In Sport,,,"rock, punk, new wave",38,,,
B0006LY0P4,sem_tags,Various Artists,Radio Cramps: The Purple Knif Show (Various Artists) [Disco de Vinil],,,"rock, pop, punk",32,,,
B005KVLJ86,sem_tags,Artista não identificado,Songs of Pain and Leisure [Disco de Vinil],,,,44,,,
B0973S7TXF,sem_tags,Kate Taylor,Why Wait! (Jade Vinyl) [Disco de Vinil],,,,62,,,
B008YCIRKG,sem_tags,Artista não identificado,Blank Cartoon [Disco de Vinil],,,,6,,,
B07BSMHG4M,sem_tags,Artista não identificado,Happiness Hours [Disco de Vinil],,,,35,,,
B09JP27D6H,sem_tags,Abu Baker Salem,Best Of Abu Baker Salem - Arabic Vinyl Record - Arabic Music,,,,118,,,
B0C4WWQ5LV,sem_tags,Various Artists,Raised By Rap: 50 Years Of Hip Hop (Various Artists) [Explicit Content] (Parental Advisory Explicit Lyrics),,,,220,,,
B06XBCH1FX,sem_tags,Artista não identificado,A Diet For The Worms [Disco de Vinil],,,,5,,,
B0BHC948S3,sem_tags,Artista não identificado,( ),,,,6,,,
B0D71B7VB3,sem_tags,Various Artists,"East Side Story, Vol. 13",,,,707,,,
B09J1V19MH,sem_tags,Various Artists,Heavenly Remixes 2 [VINYL],,,,25,,,
B0B14PLH87,sem_tags,Dina Ogon,DINA OGON,,,,293,,,
B07Z312PJ8,sem_tags,Artista não identificado,Roots Of Sublime,,,,8,,,
B0DM6ZCSCJ,sem_tags,Various Artists,Voci Parallele Concerto Per Giuni Russo - Black Vinyl,,,,56,,,
B0BKRBPJ8M,sem_tags,Artista não identificado,Divine Machines [LP],,,,509,,,
B0GYZK3Y19,sem_tags,Artista não identificado,Boneca Bebe Reborn Menina 100% Vinil Pode Dar Banho Premium,,,,23,,,
B0BRYPPBV3,sem_tags,Ravi Shankar,SHANKAR FAMILY & FRIENDS,,,folk,325,,,
B08DCFXXQM,sem_tags,Chloe Chua,Mozart: Violin Concertos,,,,471,,,
B079BF4GDS,sem_tags,Deep House Love,Love Sleeps Deep [Disco de Vinil],,,,258,,,
B0CF7MBFPW,sem_tags,Artista não identificado,Radiant Faults,,,,988,,,
B003UJ1K5W,sem_tags,Jeanette Macdonald,Jeanette Macdonald & Nelson Eddy: Favorites In Hi-Fi,,,,23,,,
B007LHGC5C,sem_tags,16 Horsepower,Sackcloth N Ashes [Disco de Vinil],,,"rock, alternative rock, owned",35,,,
B0CRZFL7TM,sem_tags,Various Artists,Tim Burgess Listening Party / Various - 140-Gram Translucent Green Colored Vinyl,,,,658,,,
B0C5TP7M49,sem_tags,Artista não identificado,"Vii [Explicit Content] (Parental Advisory Explicit Lyrics, Gatefold LP Jacket)",,,,6,,,
B07CDCF2SX,sem_tags,por,Jellies [Disco de Vinil],,,,267,,,
B0D6CK412V,trilhas,Bill Conti,BILL CONTI - TRILHA SONORA ORIGINAL DO FILME ASSASSINATO SEM MORTE F/X (LP),"soundtrack, composer, score",,,23,incompleto,"soundtrack, score","'composer' is a role, not a style"
B0CJJYRJ3V,trilhas,Carter Burwell,Blood Simple (Original Soundtrack) (RSD Exclusive),"soundtrack, ambient, composer",,,24,incompleto,"soundtrack, score",'ambient' is artist-level; 'composer' is a role
B0BVYY677M,trilhas,Tarzan / O.S.T.,TARZAN ORIGINAL MOTION PICTURE SOUNDTRACK VINYL,soundtrack,,,344,,,
B07NRJRPQZ,trilhas,Nick Cave & Warren Ellis,The Assassination of Jesse James by the Coward Robert Ford (Original Motion Picture Soundtrack) [Disco de Vinil],"soundtrack, singer-songwriter, composer",,,196,,,
B07HN44Q2H,trilhas,Ennio Morricone,Morricone Duel - The Most Dangerous Concert Ever [Disco de Vinil],"soundtrack, classical, composer",,,25,incompleto,"soundtrack, classical, score",'composer' is a role
B0756JTLZB,trilhas,Soundtrack,Moulin Rouge (Music From Baz Luhrman's Film) [Disco de Vinil],soundtrack,,,157,,,
B0CC4ZSWVX,trilhas,Rodgers / Hackmann / Boggess,Oklahoma (Complete Original Score),soundtrack,,,599,,,
B0D7YJFG78,trilhas,Michael Giacchino,Up (Original Soundtrack),"soundtrack, composer, score",,,25,incompleto,"soundtrack, score",'composer' is a role
B07MKLGY3K,trilhas,ConcernedApe,Stardew Valley (Complete OST 4XLP Vinyl Box Set),"game, soundtrack, ambient",,"electronic, soundtrack, game",9,,,
B0B92G12HR,trilhas,Ennio Morricone,ONCE UPON A TIME IN AMERICA (OST) (GOLD VINYL),"soundtrack, classical, composer",,"soundtrack, classical, jazz",14,incompleto,"soundtrack, classical, score",'composer' is a role
B0FNBGG7DC,trilhas,Howard Shore,The Lord Of The Rings: Fellowship Of The Rings (Original Motion Picture Soundtrack),"soundtrack, classical, composer",,,17,,,
B08HP1MY74,trilhas,"The Insects, Geoff Barrow Ben Salisbury",Devs (Original Series Soundtrack) [Disco de Vinil],soundtrack,,,345,,,
B09XL6RK7L,trilhas,Artista não identificado,La Panthere Des Neiges (Original Soundtrack) (WHITE VINYL),soundtrack,,,5,,,
B0GFX3XZ3Q,trilhas,Help(2) / Various,HELP(2),anime,,,25,,,
B09LGY94JZ,trilhas,At The Movies,Soundtrack of your Life - Vol. 1,"hard rock, soundtrack, covers",,,273,,,
B09J2T84Q3,trilhas,Clint Mansell & Kronos Quartet,In The Earth (Color Vinyl) [Disco de Vinil],"soundtrack, ambient, electronic",,,430,,,
B0BTB6YWKF,trilhas,Various,BLEACH OST (TRANSLUCENT BLUE VINYL/2LP),"anime, soundtrack",,,51,,,
B0CKJ7HCP9,trilhas,Castle in the Sky,CASTLE IN THE SKY (SKY BLUE VINL),"progressive rock, electronic, post-hardcore, soundtrack, anime",,,1,,,
B0DZZTPBFV,trilhas,Various,Y2k25: The Music That Made The Millennium [VINYL],soundtrack,,,252,,,
B0FMKK6R1Z,trilhas,Yoko Takahashi,Soul's Refrain - Evangelion (Original Soundtrack),"j-pop, anime, soundtrack",,,33,,,
B00RPVCSO8,trilhas,Julee Cruise,Floating Into the Night [Disco de Vinil],"dream pop, ethereal, soundtrack",,"rock, electronic, downtempo",29,,,
B09K25MS2Z,trilhas,Mica Levi,Zola (Original Motion Picture Soundtrack),"experimental, electronic, indie, soundtrack",,"electronic, experimental",5,,,
B000XETW98,trilhas,James Horner,The Story of Willow: Dialogue and Music from the Original Motion Picture Soundtrack,"soundtrack, classical, composer",,,23,,,
B07ZW9CW8H,trilhas,Carl Thiel,Seis Manos (Original Soundtrack) [Disco de Vinil],"composer, soundtrack",,,5,,,
B0DG64RGZP,trilhas,Carmine Coppola,Apocalypse Now: Final Cut (Original Soundtrack),"soundtrack, classical, composer",,,105,,,
B07HSJYD3Z,trilhas,Various,East Side Story 5 (Various Artists) [Disco de Vinil],anime,,,177,,,
B0F9LP3KLZ,trilhas,Bridget Jones Diary (Various),Bridget Jones Diary - The Complete Series Mixtape - A Curated Collection Of Hits From The Bridget Jones Saga - Exclusive Limited 2LP Edition,soundtrack,,,3,,,
B0CZX11X9V,trilhas,Kate Hudson,GLORIOUS,soundtrack,,pop,505,,,
B0BW4NK6HF,trilhas,Nokbient & Save Point,VIDEO GAME LOFI: YOSHI,"lo-fi, game",,,2,,,
B0DZD74MTJ,trilhas,Claudio Simonetti's Goblin,LP VINIL Claudio Simonetti's Goblin - Profondo rosso,"progressive rock, soundtrack, italy",,,735,,,
B0C42ZN4T1,trilhas,DZIDZIO,"Man With A Movie Camera (140 Gram Vinyl, Colored Vinyl, Gray, Gatefold LP Jacket, Digital Download Card)",soundtrack,,,236,,,
B0FH4HDXC7,trilhas,Nicholas Hooper,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack) [VINYL],"soundtrack, classical, composer",,"soundtrack, classical, orchestral",71,,,
B0F1V589CT,trilhas,Akira Yamaoka,Silent Hill (1 ) Video Game Soundtrack - Marble Smoke Wax Variant,"ambient, soundtrack, game",,"rock, electronic, downtempo",34,,,
B0D7SPVFW4,trilhas,Lady Gaga & Bradley Cooper,Vinile Lady Gaga / Bradley Cooper - A Star Is Born / O.S.T. (2 Lp),"pop, soundtrack",,,7,,,
B0BLGC798R,um_tag,Taylort Swift,Midnights - Exclusive Limited Edition Mahogany Colored Vinyl LP,pop,,,34,,,
B01LP5FET0,um_tag,"John / Ono,yoko Lennon","Unfinished Music, No. 2: Life With The Lions [Disco de Vinil]",rock,,,33,,,
B0CFTR3M4H,um_tag,Maria BC,"Spike Field - Red (Colored Vinyl, Red)",singer-songwriter,,,616,,,
B007786XY0,um_tag,Bug Attack,Bug Attack Ep (Dl Card) [Disco de Vinil],electronic,,,24,,,
B0CV5V6GZR,um_tag,Reach / Various,REACH (RED VINYL),anime,,,602,,,
B0D325NR1T,um_tag,Machine Girl,Super Freq Ep [VINYL],breakcore,,"electronic, drum and bass, jungle",47,,,
B0DP4GDM5Q,um_tag,Dudu Tassa & The Kuwaitis,Ala Shawati[LP],rock,,,117,,,
B01JOMSAQK,um_tag,Gemini,I Gemini [Disco de Vinil],singer-songwriter,,"rock, electronic, pop",618,,,
B0GKWC4T4M,um_tag,Melvins with Napalm Death,Savage Imperial Death March,rock,,,25,,,
B0BSVGYZ9S,um_tag,"Wyclef Jean, Refugee All Stars",Joan Of All,soul,,,694,,,
B00WBJSO88,um_tag,Soundtrack,American Graffiti (41 Original Hits From the Soundtrack) [Disco de Vinil],soundtrack,,,160,,,
B01IWXRWVG,um_tag,Peacock/Garbarek/Stanko/DeJohnette,Voice From The Past - Paradigm,jazz,,,111,,,
B006LSSGGK,um_tag,Fiedler / Mantovani,"90 Minutes with the Magnificent Maestros Arthur Fiedler and the Boston Pops, Mantovani and His Orchestra 2 Record Set Vinyl Album",classical,,,2,,,
B01GJ8JHPK,um_tag,Lori McKenna,The Bird And The Rifle [Disco de Vinil],singer-songwriter,,country,85,,,
B0B7Q9FC88,um_tag,Christian Death,"The Path Of Sorrows - Blue Haze (Colored Vinyl, Blue, Reissue)",industrial metal,,"rock, deathrock, gothic",63,,,
B002PHVH6M,um_tag,Disco de Vinil,Bleach [Disco de Vinil],disco,,,66,,,
B000000Y0F,um_tag,Sonny Rollins / The Modern Jazz Quartet,Sonny Rollins With The Modern Jazz Quartet [LP],jazz,,,160,,,
B0F7MVP79C,um_tag,Various,NOW That's What I Call 90s R&B,rnb,,,43,,,
B0FM3K81YG,um_tag,Freddie Gibbs & Alchemist,Alfredo II 2 (Laser Disc Cover) Vinyl 2LP 180g Metallic Silver,hip-hop,,,25,,,
B00X5X5DGA,um_tag,"Charly García, Pedro Aznar",Tango 4 [Disco de Vinil],latin,,"rock, progressive rock, art rock",22,,,
B076V6V6CZ,um_tag,KISS,Kiss - Best of Live - LP [VINYL] [Disco de Vinil],rock,,,26,,,
B07GRLPLD9,um_tag,Terence Fixmer,Through The Cortex [Disco de Vinil],electronic,,"electronic, industrial, techno",208,,,
B0BPGGCSFH,um_tag,RPWL,Crime Scene (Download Insert,rock,,"rock, offizielle charts, 1–4 wochen",614,,,
B006W3HHJ6,um_tag,John Talabot,Fin [Disco de Vinil],electronic,,"electronic, pop, house",11,,,
B0CVBKFGZ8,um_tag,Manel Santisteban,La Casa De Papel (Money Heist) (Original Soundtrack),soundtrack,,,579,,,
B0BCMSL793,um_tag,Ernesto de la Cruz,Coco Original Motion Picture Soundtrack - Exclusive Marigold & Azul Colored Vinyl 2 LP,soundtrack,,,23,,,
B0BW2BSXXS,um_tag,The Royal Jesters,TAKE ME FOR A LITTLE WHILE B/W WE GO TOGETHER (OPAQUE GREEN VINYL),rock,,,636,,,
B07Q5CQFKD,um_tag,The Loire Valley Calypsos,Vs The Great Pink Flamingo [Disco de Vinil],samba,,,25,,,
B0C64DPSRK,um_tag,Sandy Bull,"MTV Unplugged - 140gm Vinyl [Import] (140 Gram Vinyl, Spain - Import)",singer-songwriter,,,611,,,
B0CNSL34KK,um_tag,"Avantasia, Epica, Powerwolf, and More Nightwish",Symphonic & Opera Metal Vinyl Edition Vol 3,metal,,,23,,,
B01KK4X1ME,um_tag,The Marcus King Band,Marcus King Band [Disco de Vinil],soul,,"rock, blues, blues rock",185,,,
B09XZP851M,um_tag,Grumpster,FEVER DREAM,dream pop,,"rock, punk, pop punk",142,,,
B0BJ2SVM32,um_tag,Stephen Sondheim/Sara Bareilles/2022 Broadway Cast,Into The Woods (2022 Broadway Cast Recording) [Apple Red 2 LP],musical,,,636,,,
B07TMRS28J,um_tag,Charley Crockett,Valley [Disco de Vinil],soul,,country,702,,,
B07BZ455PV,varios,Various,Boston Hardcore '89-91 [Disco de Vinil],hardcore,,"rock, hardcore punk",40,,,
B08L4GMT5L,varios,Artista não identificado,The Last of Us Part II,"soundtrack, game",,,4,,,
B0DM43PB4B,varios,Various,Metronome - le Son Vrai [VINYL],electronic,,,40,,,
B0F2TKBY9R,varios,Various,Assassin's Creed: Shadows (Original Soundtrack),soundtrack,,,134,,,
B00K5KO7KY,varios,Various,Garden State (Music From the Motion Picture) [Disco de Vinil],soundtrack,,"rock, electronic, downtempo",277,,,
B08R136TFW,varios,Artista não identificado,Cowboy Bebop Original Score - Exclusive MONDO Limited Edition Yellow and Blue Marble Colored 2x Vinyl LP (Only 1000 Copies Pressed Worldwide!),"soundtrack, anime",,,5,,,
B08PXD318X,varios,Various Artists,Klonoa: Door to Phantomile (Original Soundtrack) (Clear Vinyl) [Disco de Vinil],soundtrack,,,5,,,
B0BS9N7ZFL,varios,Various Artists,A Good Person (Music From The Original Motion Picture) [LP],soundtrack,,,5,,,
B0BG5ZJH8H,varios,Various,West Side Story (Original Broadway Cast Recording),soundtrack,,,174,,,
B0CL5GPD95,varios,Various,Horizon Forbidden West - Exclusive Limited Edition Marble Colored Vinyl Box Set 6LP,game,,"soundtrack, video games, offizielle charts",2,,,
B01LVZ1LQ5,varios,Various,The Classic Big Band Christmas Album / Various,jazz,,,578,,,
B0CQH1GKTQ,varios,Various Artists,CYBERPUNK 2077 RADIO VOL.1 (OPAQUE YELLOW VINYL),"soundtrack, game",,,6,,,
B09RTHZY5Z,varios,Artista não identificado,Matrix Resurrections (Original Soundtrack) [Import] (United Kingdom - Import),soundtrack,,,5,,,
B09WH57KW6,varios,Artista não identificado,"Resident Evil: Welcome To Raccoon City (Original Soundtrack) (Colored Vinyl, Red, Limited Edition, 180 Gram Vinyl, Gatefold LP Jacket)","soundtrack, game",,,3,,,
B0DNNG25L4,varios,Artista não identificado,VIDEO GAME LOFI: WORLD OF WARCRAFT,"soundtrack, game",,,2,,,
B0CQ3V71RH,varios,Various,The Color Purple (Music From And Inspired By) (Amazon Exclusive Gold Vinyl),soundtrack,,,47,,,
B0F7N6RPSZ,varios,Various,NOW That's What I Call Music! '90s Pop,pop,,,98,,,
B0CRMDJZDN,varios,Various,Street Fighter 6 (Original Soundtrack),soundtrack,,,4,,,
B0BNKB4VN3,varios,Various,Now Yearbook 1980-1984: Vinyl Extra/Various,rock,,,893,,,
B0DSG6SMMJ,varios,Artista não identificado,Moana 2 OST Exclusive Limited Blue Splatter Color Vinyl LP,"screamo, krautrock, electronic, soundtrack",,,1,,,
B00KSR4D3A,varios,Various,Ghostbusters (Original Soundtrack Album) [Disco de Vinil],soundtrack,,"rock, electronic, soundtrack",515,,,
B0F332V7BX,varios,Various,Locked In The Basement Vol. 1,rock,,hip hop,29,,,
B0833X8HVW,varios,Various,TROLLS World Tour (Original Motion Picture Soundtrack) [Disco de Vinil],soundtrack,,"electronic, soundtrack, pop",484,,,
B014JRC9X0,varios,Various,The Goonies (Original Motion Picture Soundtrack) [Disco de Vinil],soundtrack,,"rock, electronic, pop",580,,,
B077HKJXTG,varios,Various,American Folk / Various Artists [Disco de Vinil],folk,,"electronic, ambient, house",314,,,
B0CC8PNLCY,varios,Artista não identificado,Silent Hill 3: Original Video Game Soundtrack (Limited to 1000 Copies Rust Colored Vinyl 2LP),"soundtrack, game",,,3,,,
B0FD63KL8M,varios,Various,Techno Club Retro Vol. 1 - Vinyl Edition [Vinyl LP],techno,,"electronic, techno, happy hardcore",83,,,
B078X9H8BT,varios,Artista não identificado,Marvel's Iron Fist (Original Soundtrack) [Disco de Vinil],soundtrack,,,5,,,
B0CH97RXSQ,varios,Various,"Mods Mayday '79 / VARIOUS (Colored Vinyl, Splatter","rock, indie rock",,"rock, new wave, power pop",216,,,
B01BPSA9C4,varios,Artista não identificado,Il Mondo Dei Romani (Original Soundtrack) [Disco de Vinil],soundtrack,,,5,,,
B0FFRFT2NB,varios,Artista não identificado,"Dirty Dancing Soundtrack, Exclusive Dirty Dancing Purple Colored Vinyl Record LP",soundtrack,,,1,,,
B07LGF6S67,varios,Artista não identificado,Watchmen (Original Soundtrack),soundtrack,,,1,,,
B0GX2M1JR1,varios,Various Artists,Destiny 2 - Volume 1: Original Game Soundtrack,soundtrack,,,4,,,
